Flick Hans;Wassermeyer Franz;Baumhoff Hubertus;Aussensteuerrecht;Bd. III;0;0;3-504-26041-6;;Loseblattwerk;Kommentar;KB 308 3;KÃ¶ln;Otto Schmidt;2017;iff_doc_missing;CSV line 1;155189379;0;0;;;
Baur Roman;0;0;Die tarifpolitischen Aspekte der zwischenbetrieblichen Zusammenarbeit im öffentlichen Ballungsverkehr;0;0;0;0;233;Druckerzeugnis;Dissertation der Hochschule St. Gallen, Nr. 534;AJ 234;Winterthur;Ziegler Druck- und Verlags AG;1974;bestcase;139085;;;;;;
Bircher Thomas;0;0;Die Finanzierung der öffentlichen Spitäler durch die öffentliche Hand;0;0;0;0;83;Druckerzeugnis;0;BE Sep. 05;Bern;Seminararbeit;;replacefromSwissbib;991073;83239693;0;0;https://www.swissbib.ch/Record/083239693;;
Ruffner Markus;0;0;Die EG-Harmonisierungs- und Liberalisierungsrichtlinien;Blaupause und Regelungsstandard für das schweizerische Telekommunikationsrecht am Beispiel der Interkonnektion;0;0;3 7255 3887 5;409-428;Druckerzeugnis;In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag;;Zürich;Schulthess;;replacefromSwissbib;991080;45860793;0;0;https://www.swissbib.ch/Record/45860793;;
Iklé Max;0;0;Die Schweiz und die internationalen monetären Institutionen;0;0;0;0;16;Druckerzeugnis;Referat an der HSG vom 5. Oktober 1972;FA Sep. 02;0;0;1972;bestcase;170622;;;;;;
IFSt;0;0;IFSt-Brief 188;0;0;0;-;18;Druckerzeugnis;0;Z 153 188;Bonn;Stollfuss;1980;journal;;;;;;;
Schwarzenbach-Hanhart Hans Rudolf;0;0;Berufliche Vorsorge in Text und Tafeln;0;0;0;3.7255.3244.3;224;Druckerzeugnis;Textausgabe mit Verweisen auf andere Erlasse, Tafeln über die Zusammenhänge und ausführlichem Sachregister;WD 223;Zürich;Schulthess;1995;HSB01duplicate;991100;77996;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=77996;;
Kommission für Konjunkturfragen des Eidgenössischen Volkswirtschaftsdepartementes;0;0;Der schweizerische Index der industriellen Produktion;0;0;0;0;24;Druckerzeugnis;0;AE Sep. 08;Bern;Verlag Schweizerisches Handelsblatt;1965;HSB01duplicate;991109;437431;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=437431;;
Stanford Research Institute;;0;Costs of urban infrastructure for industry as related to city size in developing countries;0;0;0;0;435;Druckerzeugnis;India Case Study;AJ 169;0;0;1968;reimportFromSwissbib;991117;515921467;0;0;https://www.swissbib.ch/Record/515921467;;
Haverkampf Hans-Erhard;0;0;Politische und öffentliche Teilnahme an der kommunalen Aufgaben- und Finanzplanung;Reale Situation in der BRD und Möglichkeiten der Verbesserung;0;0;-;39-52;Druckerzeugnis;In: Bauer-Helfried- Knöpfle-Franz (Hersausgeber)- und andere: Aufgabenplanung und Finanzplanung;;;;;leave;991125;;;;;;
Expertenkommission zur Prüfung des Einsatzes des Steuerrechts für wohnungs- und bodenpolitische Ziele;0;0;Bericht der Expertenkommission zur Prüfung des Einsatzes des Steuerrechts für wohnungs- und bodenpolitische Ziele;0;0;0;-;173;Druckerzeugnis;erstattet dem Eidg. Finanzdepartement;TA 197 1;Bern;;1994;replacefromSwissbib;991132;298853590;0;0;https://www.swissbib.ch/Record/298853590;;
Thiemann Rolf;0;0;Die Effizienz geldpolitischer Indikatoren Eine theoretische und empirische Analyse für die Bundesrepublik Deutschland;0;0;0;0;212;Druckerzeugnis;Inaugural-Dissertation der Westfälischen Wilhelms-Universität zu Münster, 1977;AK 0265;0;Offset;1977;replacefromSwissbib;991138;289071720;0;0;https://www.swissbib.ch/Record/289071720;;
Perret-Gentil J.-C.;Odermatt W.;Waas E.;Die Rolle der Klein- und Mittelstädte bei der Verteilung der Dienstleistungsfunktionen in der Schweiz;0;0;0;0;19-;Druckerzeugnis;0;AJ Sep. 41;0;0;1985;leave;991143;;;;;;
Helbling Carl;0;0;Bilanz- und Erfolgsanalyse;0;0;0;3-258-05626-9;559;Druckerzeugnis;Lehrbuch und Nachschlagewerk für die Praxis mit besonderer Berücksichtigung der Darstellung im Jahresabschluss- und Revisionsbericht;PE 1011 2;Bern;Paul Haupt;1997;bestcase;149878;;;;;;
Schmidt Hans-Jürgen;0;0;Betriebswirtschaftslehre für die Verwaltung;0;0;0;3-7685-1481-1;341;Druckerzeugnis;0;EA 190;Heidelberg;R.v.Decker;1982;HSB01duplicate;991155;184257;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=184257;;
IFSt;0;0;IFSt-Schrift 357;0;0;0;-;101;Druckerzeugnis;Bedeutung und Reichweite der richtlinienkonformen Auslegung nationalen Rechts;Z 153 357;Bonn;IFSt;1997;journal;;;;;;;
