"Schmidhauser Bruno";"Der Begriff der 'mehreren Unternehmen' im Sinne von Art. 4 Abs. 2 KG";"3 7255 3887 5";"S. 429-446";Druckerzeugnis;"05.12.2003 08:19";"In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag";Haupt-Bibliothek;-;Zürich;"Schulthess Polygraphischer Verlag";-;;WB;;;"Uebrige Literatur";"Oeffentliches Recht";;export;0991054;045860890
"Shultz William J./Harriss Lowell C.";"American Public Finance";;556;Druckerzeugnis;"05.12.2003 08:19";"8. A.";Haupt-Bibliothek;"AA 158";"New Jersey";"Prettice Hall Inc. Englewood Cliffs";1965;;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";;export;0991055;228062756
"Rölli Alfred";"Die sozio-ökonomischen Bestimmungsfaktoren der Bildung von Wohneigentum in der Schweiz";3.7253.0132.8;297;Druckerzeugnis;"05.12.2003 08:19";"Dissertation der Hochschule St.Gallen Nr. 790";Haupt-Bibliothek;"AF 183";Diessenhofen;Rüegger;1981;;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;export;0991060;271097167
"Meerpohl Jutta";"Die Mutter-/Tochter-Richtlinie der Europäischen Gemeinschaft und ihre Umsetzung in das Recht der Mitgliedstaaten";3-631-32800-1;225;Druckerzeugnis;"05.12.2003 08:19";"Europäische Hochschulschriften, Reihe II, Rechtswissenschaft, Bd. 2334";Haupt-Bibliothek;"KA 172";"Frankfurt am Main";"Peter Lang";1998;;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";;reimport;0991061;264946782
"Hansmeyer Karl-Heinrich";"Der Weg zum Wohlfahrtsstaat";;114;Druckerzeugnis;"05.12.2003 08:19";"Wandlungen der Staatstätigkeit im Spiegel der Finanzpolitik unseres Jahrhunderts";Haupt-Bibliothek;"BF 107";"Frankfurt a.M.";"Fritz Knapp Verlag";1957;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";export;0991064;275140946
"Fries Jean-Marc";"Die überkantonale und überdiözesane Finanzierung der römisch-katholischen Kirche in der Schweiz";;135;Druckerzeugnis;02.03.2004;;Haupt-Bibliothek;"EF 241";Freiburg;Universität;1997;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;reimport;0991066;515929271
"Schitag Ernst & Young-Gruppe";"Aktuelle Fachbeiträge aus Wirtschaftsprüfung und Beratung - Festschrift zum 65. Geburtstag von Professor Dr. Hans Luik";"3 8202 0658 2";560;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"JB 127";Stuttgart;"Schäffer Verlag für Wirtschaft und Steuern GmbH";1991;;JB;;;"Allgemeine Steuerrechtsliteratur";"Festschriften, Sammelwerke, Bibliographien";;export;0991072;136317596
"Bircher Thomas";"Die Finanzierung der öffentlichen Spitäler durch die öffentliche Hand";;83;Druckerzeugnis;"05.12.2003 08:19";;Separata;"BE Sep. 05";Bern;Seminararbeit;-;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";export;0991073;083239693
"Voigt Rüdiger";"Der kooperative Staat";3-7890-3903-9;297;Druckerzeugnis;22.04.2004;"Krisenbewältigung durch Verhandlung?";Haupt-Bibliothek;"WD 231";Baden-Baden;"Nomos Verlagsgesellschaft";1995;;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";;reimport;0991075;292492677
"Brittain John A.";"Corporate Dividend Policy";;245;Druckerzeugnis;10.09.2003;;Haupt-Bibliothek;"CA 119";Washington;"The Brookings Institution";1966;;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";export;0991077;215558359
"Ruffner Markus";"Die EG-Harmonisierungs- und Liberalisierungsrichtlinien - Blaupause und Regelungsstandard für das schweizerische Telekommunikationsrecht am Beispiel der Interkonnektion";"3 7255 3887 5";"S. 409-428";Druckerzeugnis;"05.12.2003 08:19";"In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag";Haupt-Bibliothek;-;Zürich;"Schulthess Polygraphischer Verlag";-;;WB;;;"Uebrige Literatur";"Oeffentliches Recht";;export;0991080;045860793
"Meyer Jean";"Comptabilité d'entreprise et comptabilité nationale";;118;Druckerzeugnis;"05.12.2003 08:19";"2. A.";Haupt-Bibliothek;"AE 142";Paris;Dunod;1969;;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";;reimport;0991087;501208747
"Recktenwald Horst Claus";"Die Nutzen-Kosten-Analyse";3.16.331991.2;56;Druckerzeugnis;05.12.2003;;Haupt-Bibliothek;"BG 114";Tübingen;"J.C.B. Mohr (Paul Siebeck)";1971;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";export;0991089;265746647
OECD;"Checklist on Law Drafting and Regulatory Management in Central and Eastern Europe";-;29;Druckerzeugnis;"05.12.2003 08:19";"Sigma Papers No. 15";Haupt-Bibliothek;"EA 294";Paris;SIGMA-OECD;1997;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;reimport;0991098;515931314
"Mästle Andreas";"Die Steuerunion - Probleme der Harmonisierung spezifischer Gütersteuern";"3 8204 0152 0";195;Druckerzeugnis;05.12.2003;;Haupt-Bibliothek;"KA 328";"Frankfurt/Bern/New York";"Peter Lang";1987;;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";;export;0991099;537114009
