"Nystad Arild N.";"Application of Control and System Theory to Macroeconomics: A Survey";;52;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AK 1063";"St. Gallen";"Forschungsgemeinschaft für Nationalökonomie";1981;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0991059;0303555
"Stadler Markus";"Controlling in der öffentlichen Verwaltung";-;84;Druckerzeugnis;"05.12.2003 08:19";"Zum Ausgabenaspekt- Bd. 1";Haupt-Bibliothek;"VE 145 1";Solothurn;"Verlag der FkF";1991;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";"hsg duplicate";0991063;0052388;;"Zum Ausgabenaspekt- Bd. 1"
"Sorba Antal";"Die grosse Schröpfung";3.430.18620.X;507;Druckerzeugnis;"05.12.2003 08:19";"5000 Jahre Wirtschaft trotz Finanzamt";Haupt-Bibliothek;"AC 152";Düsseldorf/Wien;"Econ Verlag";1971;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0991065;0361501
"Grass Rolf-Dieter";"Ausweichwirtschaft Abgrenzungen-Ausprägungen-Ausmasse";3.8204.5458.6;399;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AK 1099";Frankfurt;"Peter Lang";1984;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0991067;0201585
"Gärdenfors Peter/Sahlin Nils-Eric";"Decision-probability-and utility";"0.521.33399.1 0.521.33658.9";425;Druckerzeugnis;"05.12.2003 08:19";"Selected Readings";Haupt-Bibliothek;"AK 1198";Cambridge;"Cambridge University Press";1988;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0991069;0001479
"Thoma Gerhard/Niemann Ursula";"Die Auslegung der Steuergesetze in Wissenschaft und Praxis";;343;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"JD 302";Köln;"Verlag Dr. Otto Schmidt KG";1965;;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";;"hsg duplicate";0991074;0127933
"Ehret Helmut";"Die Anwendbarkeit von Input-Output-Modellen als Prognoseinstrument";;160;Druckerzeugnis;"05.12.2003 08:19";"Empirische Überprüfungen auf der Basis einer Input-Output-Tabelle für die Bundesrepublik Deutschland von 1954";Haupt-Bibliothek;"AE 149";Berlin;"Duncker & Humblot";1970;;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";;"hsg duplicate";0991076;0320780
"Gammie Malcolm";"Butterworths Yellow Tax Handbook 1996/97 - Part I";"0 406 06498 9";-;Druckerzeugnis;"05.12.2003 08:19";"Statutes, Income Tax, Corporation Tax, Capital Gains Tax";Haupt-Bibliothek;"KG 105 01";London;Butterworths;1996;;KG;;;"Ausländisches Steuerrecht";England;;"hsg duplicate";0999468;0991079
"Aalders Carel A. V./Bertouille S./u.a.";"Branches and Subsidiaries in the European Common Market";90.268.0830.5;307;Druckerzeugnis;"05.12.2003 08:19";"Legal and tax aspects";Haupt-Bibliothek;"FB 135";Netherlands;Kluwer-Deventer;1976;;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";"hsg duplicate";0991081;0126483
OECD;"Taxation and Foreign Direct Investment";-;165;Druckerzeugnis;"02.02.2004 16:17";"The Experience of the Economies in Transition";Haupt-Bibliothek;"LC 0169";Paris;OECD;1995;;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";;"hsg duplicate";0991085;0117448
"Wendt Rudolf";"Die Gebühr als Lenkungsmittel";;157;Druckerzeugnis;05.12.2003;;Haupt-Bibliothek;"GC 103";Hamburg;"Hansischer Gildenverlag, Joachim Heitmann & Co.";1975;;GC;;;Finanzrecht;Kausalabgaben;;"hsg duplicate";0991088;0362844
"Tretter Bertram";"Die Steuermentalität";3.428.03139.3;76;Druckerzeugnis;10.09.2003;"Ein internationaler Vergleich";Haupt-Bibliothek;"CA 204";Berlin;"Duncker & Humblot";1974;;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";"hsg duplicate";0991091;0364730
"Vereinigung schweiz. Betriebswirtschafter";"Die Unternehmung";;;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AJ 155";Bern;"Paul Haupt";1968;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0991092;0008890
"Karl Fritz";"150 Jahre Staatsschuldenverwaltung 17.1.1820 - 17.1.1970";;126;Druckerzeugnis;"05.12.2003 08:19";"Ein Gang durch anderthalb Jahrhunderte deutscher Finanzgeschichte";Haupt-Bibliothek;"DA 111";Berlin;"Duncker & Humblot";1970;;YL2;YL7;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0991097;0360539
