IFA;"Cahiers de Droit Fiscal International - Vol. LXXXIIb (1997)";"90 411 0392 9";892;Druckerzeugnis;"05.12.2003 08:19";"Die Besteuerung von Investmentfonds";Haupt-Bibliothek;"LC 0301 082.2";"The Hague / London / Boston";Kluwer;1997;;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";
IFSt;"IFSt-Schrift 372";3-89737-067-0;118;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 153 372";Bonn;IFSt;1999;;Z;;;Zeitschriften;;
-;"Archiv für Schweizerisches Abgaberecht (ASA) - Aktuelle Nummer";1422-3481;;Druckerzeugnis;"05.12.2003 08:19";;"Sekr. Steuerrecht";"Z 030";Bern;"Geiger AG";aktuell;;Z;;;Zeitschriften;;
IFSt;"IFSt-Brief 188";-;18;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 153 188";Bonn;Stollfuss;1980;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 472";978-3-89737-004-3;51;Druckerzeugnis;"10.08.2011 15:44";"Carolin Rublack, Berücksichtigung finaler Auslandsverluste - Ein Vorschlag zur Umsetzung der unionsrechtlichen Anforderungen im deutschen Steuerrecht -";Haupt-Bibliothek;"Z 153 472";Berlin;"Institut 'Finanzen und Steuern'";2011;;Z;;;Zeitschriften;;
IFSt;"IFSt-Heft 024";-;120;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 024";"Bonn am Rhein";"Institut 'Finanzen und Steuern'";1952;;Z;;;Zeitschriften;;
IFSt;"IFSt-Brief 285";-;94;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 153 285";Bonn;IFSt;1989;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 357";-;101;Druckerzeugnis;"05.12.2003 08:19";"Bedeutung und Reichweite der richtlinienkonformen Auslegung nationalen Rechts";Haupt-Bibliothek;"Z 153 357";Bonn;IFSt;1997;;Z;;;Zeitschriften;;
IFSt;"IFSt-Brief 283";-;37;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 153 283";Bonn;"Institut 'Finanzen und Steuern'";1989;;Z;;;Zeitschriften;;
IFA;"Cahiers de Droit Fiscal International - Vol. LXXXIVb (1999)";"90 411 1159 X";692;Druckerzeugnis;"05.12.2003 08:19";"Verbindliche Auskünfte";Haupt-Bibliothek;"LC 0301 084.2";"The Hague / London / Boston";"Kluwer Law International";1999;;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";
IFSt;"IFSt-Heft 038";-;41;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 038";Bonn;"Wilhelm Stollfuss";1956;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 467";978-3-89737-011-1;67;Druckerzeugnis;"05.04.2011 16:27";"Tanja Dahlmanns, Tagungsbericht: Kolloquium zur Beschleunigung der Betriebsprüfung, gehalten am 23. November 2010 in Berlin";Haupt-Bibliothek;"Z 153 467";Berlin;"Institut 'Finanzen und Steuern'";2011;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 341";-;215;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 153 341";Bonn;IFSt;1995;;Z;;;Zeitschriften;;
IFSt;"IFSt-Heft 043";-;107;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 043";Bonn;Stollfuss;1956;;Z;;;Zeitschriften;;
-;"Anwaltsrevue 2013 ff. - Online";-;-;Druckerzeugnis;"14.03.2013 11:50";"Das Praxismagazin des schweizerischen Anwaltsverbandes  http://www.anwaltsrevue.recht.ch/";Internet;"Z 026";Basel;"Helbing & Lichtenhahn";online;;Z;;;Zeitschriften;;
-;"Freiburger Zeitschrift für Rechtsprechung (FZR) 2011";-;405;Druckerzeugnis;"04.04.2011 15:23";"Revue Fribourgeoise de Jurisprudence (RFJ)";"HB Steuerrecht";"Z 132";Freiburg;"Gerichtsschreiberei des Kantonsgerichts";2011;;Z;;;Zeitschriften;;
IFSt;"IFSt-Brief 216";-;73;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 153 216";Bonn;"Institut 'Finanzen und Steuern'";1982;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 468";978-3-89737-012-8;82;Druckerzeugnis;"05.04.2011 16:37";"Thomas Hemmelgarn, Steuern und Abgaben im Finanzsektor: Abgabenrechtliche Regulierung und neue Finanzmarksteuern in der Europäischen Union";Haupt-Bibliothek;"Z 153 468";Berlin;"Institut 'Finanzen und Steuern'";2011;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 365";3-89737-060-3;118;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 153 365";Bonn;IFSt;1998;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 469";978-3-89737-017-3;62;Druckerzeugnis;"06.04.2011 16:19";"Klaus-Dieter Drüen, Modelle und Rechtsfragen zeitnaher Betriebsprüfung";Haupt-Bibliothek;"Z 153 469";Berlin;"Institut 'Finanzen und Steuern'";2011;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 471";978-3-89737-010-4;123;Druckerzeugnis;"10.08.2011 15:32";"IFSt-Arbeitsgruppe, Einführung einer modernen Gruppenbesteuerung - Ein Reformvorschlag - (mit: Wolfgang Haas, Norbert Herzig, Heribert Hirte, Wolfgang Kessler, Michael Kröner, Peter Rennings, Thomas Rödder- Leitung: Johanna Hey- Co-Autoren: Paul Nickel, Christoph Schreiber)";Haupt-Bibliothek;"Z 153 471";Berlin;"Institut 'Finanzen und Steuern'";2011;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 470";978-3-89737-000-5;125;Druckerzeugnis;"24.05.2011 17:42";"Markus Ernst, Neuordnung der Verlustnutzung nach Anteilseignerwechsel - Reformbedarf und haushaltspolitische Bedeutung des § 8c KStG -";Haupt-Bibliothek;"Z 153 470";Berlin;"Institut 'Finanzen und Steuern'";2011;;Z;;;Zeitschriften;;
IFSt;"IFSt-Heft 059 - Bd. 1";-;91;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 059.1";Bonn;Stollfuss-Verlag;1959;;Z;;;Zeitschriften;;
IFSt;"IFSt-Heft 041";-;66;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 041";Bonn;Stollfuss;1956;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 354";-;27;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 153 354";Bonn;IFSt;1997;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 466";978-3-89737-015-9;50;Druckerzeugnis;"01.06.2011 11:51";"Hans-Ludwig Dornbusch, Entwicklung wesentlicher Daten der öffentlichen Finanzwirtschaft in Deutschland von 1999-2009";Haupt-Bibliothek;"Z 153 466";Berlin;"Institut 'Finanzen und Steuern'";2010;;Z;;;Zeitschriften;;
IFSt;"IFSt-Heft 055";-;137;Druckerzeugnis;"05.12.2003 08:19";"Wilhelm Henrichs, Artikel 113 des Grundgesetzes - Stellung in der Verfassung, Zweck und Anwendbarkeit";Haupt-Bibliothek;"Z 152 055";Bonn;Stollfuss;1958;;Z;;;Zeitschriften;;
-;"Deutsches Steuerrecht (DStR) 1980";0949-7676;;Druckerzeugnis;"05.12.2003 08:19";"Zeitschrift für Praxis und Wissenschaft des gesamten Steuerrechtes- 18. Jg.";"HB Steuerrecht";"Z 090";München;"C.H. Beck";1980;;Z;;;Zeitschriften;;
FSt;"IFSt-Heft 035";-;164;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 035";Bonn;"Institut 'Finanzen und Steuern'";1955;;Z;;;Zeitschriften;;
IFSt;"IFSt-Brief 266";-;28;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 153 266";Bonn;IFSt;1987;;Z;;;Zeitschriften;;
IFSt;"IFSt-Heft 118";-;148;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 118";Bonn;Stollfuss;1978;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 461";3-89737-156-1;87;Druckerzeugnis;"28.03.2011 16:43";"Christian Dorenkamp, Systemgerechte Neuordnung der Verlustverrechnung - Haushaltsverträglicher Ausstieg aus der Mindestbesteuerung";Haupt-Bibliothek;"Z 153 461";Bonn;"Institut 'Finanzen und Steuern'";2010;;Z;;;Zeitschriften;;
-;"Aktuelle juristische Praxis (AJP) 2004 A";1660-3362;-;Druckerzeugnis;"05.12.2003 08:19";"Publikationsorgan der Schweizerischen Richtervereinigung 13. Jahrgang";"HB Steuerrecht";"Z 010";Lachen;"Dike Verlag AG";2004;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 463";3-89737-158-8;177;Druckerzeugnis;"28.03.2011 16:52";"Roland Franke/Klaus Kügler, Steuerliche Behandlung grenzüberschreitender Funktionsverlagerungen";Haupt-Bibliothek;"Z 153 463";Bonn;"Institut 'Finanzen und Steuern'";2010;;Z;;;Zeitschriften;;
IFSt;"IFSt-Heft 086";-;94;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 086";Bonn;"Wilhelm Stollfuss Verlag";1967;;Z;;;Zeitschriften;;
-;"Der Schweizer Treuhänder (ST) 2005";;;Druckerzeugnis;"05.12.2003 08:19";"Monatsschrift für Wirtschaftsprüfung, Rechnungswesen, Unternehmens- und Steuerberatung";"HB Steuerrecht";"Z 070";Zürich;Treuhand-Kammer;2005;;Z;;;Zeitschriften;;
-;"Die neue Steuerpraxis (NStP) - Aktuelle Nummer";;;Druckerzeugnis;"05.12.2003 08:19";"Monatsschrift für bernisches und eidgenössisches Steuerrecht";"Sekr. Steuerrecht";"Z 100";Bern;"Rub Media";aktuell;;Z;;;Zeitschriften;;
IFSt;"IFSt-Schrift 465";978-3-89737-014-2;76;Druckerzeugnis;"29.03.2011 11:52";"Ulrike Beland, Entwicklung der Realsteuerhebesätze der Gemeinden mit 50 000 und mehr Einwohnern im Jahr 2010 gegenüber 2009";Haupt-Bibliothek;"Z 153 465";Bonn;"Institut 'Finanzen und Steuern'";2010;;Z;;;Zeitschriften;;
-;"Aktuelle juristische Praxis (AJP) 2005 A";1660-3362;-;Druckerzeugnis;"05.12.2003 08:19";"Publikationsorgan der Schweizerischen Richtervereinigung 14. Jahrgang";"HB Steuerrecht";"Z 010";Lachen;"Dike Verlag AG";2005;;Z;;;Zeitschriften;;
IFSt;"IFSt-Heft 111";-;54;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 111";Bonn;Stollfuss;1976;;Z;;;Zeitschriften;;
-;"Zeitschrift für Schweizerisches Recht (ZSR) 2011 - Bd. 1";0254-945X;640;Druckerzeugnis;"25.05.2011 16:23";"Bd. 130 (2011) I - Das offizielle Veröffentlichungsorgan des Schweizerischen Juristenvereins La RDS – l'organe de communication principal de la Société suisse des juristes";"HB Steuerrecht";"Z 345";Basel;"Helbing Lichtenhahn Verlag";2011;;Z;;;Zeitschriften;;
-;"Zeitschrift für Schweizerisches Recht (ZSR) - Aktuelle Nummer";"ISSN: 0254-945X";-;Druckerzeugnis;"25.05.2011 16:35";"Das offizielle Veröffentlichungsorgan des Schweizerischen Juristenvereins La RDS – l'organe de communication principal de la Société suisse des juristes";"Sekr. Steuerrecht";"Z 345";Basel;"Helbing Lichtenhahn Verlag";aktuell;;Z;;;Zeitschriften;;
-;"Zeitschrift für Schweizerisches Recht (ZSR) 2010 - Bd. 1";0254-945X;645;Druckerzeugnis;"25.05.2011 17:13";"Band 129 (2010) I - Das offizielle Veröffentlichungsorgan des Schweizerischen Juristenvereins La RDS – l'organe de communication principal de la Société suisse des juristes";"HB Steuerrecht";"Z 345";Basel;"Helbing Lichtenhahn Verlag";2010;;Z;;;Zeitschriften;;
IFSt;"IFSt-Heft 079";-;62;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 079";Bonn;Stollfuss;1965;;Z;;;Zeitschriften;;
IFSt;"IFSt-Heft 112";-;165;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 152 112";Bonn;"Stollfuss Verlag";1976;;Z;;;Zeitschriften;;
IFSt;"IFSt-Brief 243";-;90;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"Z 153 243";Bonn;IFSt;1985;;Z;;;Zeitschriften;;
