NN;"Verträge zur Gründung der Europäischen Gemeinschaften";;833;Druckerzeugnis;10.09.2003;"Verträge zur Änderung dieser Verträge Dazugehörige Dokumente";Haupt-Bibliothek;"FB 106";;"Amt für amtliche Veröffentlichungen der Europäischen Gemeinschaften 5266/71";1971;;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";notfound
"Schweiz. Bankverein";"Vor einem Ausbau des Notenbankinstrumentariums in der Schweiz. Der Stand des Gemeinsamen Marktes. Die Bahama-Inseln";;"S. 85 FF S. 91 FF S. 96 FF";Druckerzeugnis;"05.12.2003 08:38";;Separata;"AK Sep. 106";Basel;"Schweizerischer Bankverein";1968;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;notfound
-;"Wirtschaftsförderung (diverse Jahrgänge). - Stimmen zur Staats- und Wirtschaftspolitik (diverse Jahrgänge). - Blaue Hefte (diverse Jahrgänge)";;;Druckerzeugnis;"05.12.2003 08:38";;Separata;"AG Sep. 82";;;-;;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;notfound
"Veröffentlichung der Schweiz. Verwaltungskurse";"Voranschlag und Rechnung der öffentlichen Gemeinwesen";;176;Druckerzeugnis;"05.12.2003 08:38";;Haupt-Bibliothek;"VD 101";Einsiedeln;"Benziger & Co.";1945;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Werner Josua";"Wohlstand-Freiheit und Gerechtigkeit";;218;Druckerzeugnis;31.03.2004;"Dissertation der HSG, 1951";Haupt-Bibliothek;"AK 0101";"Zürich und St. Gallen";"Polygraphischer Verlag";1951;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;notfound
"Schultz T.";"Resources for Higher Education: An Economist's View";"0-8014-9860-0 (paperback) 0-8014-0914-4 (cloth)";132-153;Druckerzeugnis;"05.12.2003 08:38";"In: Amacher Ryan C./Tollison Robert D: The Economic Approach to Public Policy";Haupt-Bibliothek;-;London;"Cornell University Press";-;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;notfound
"Arthur Andersen & Co.";"Tax and Trade Guide .....";-;-;Druckerzeugnis;"05.12.2003 08:38";;Haupt-Bibliothek;"KA 313";-;"Arthur Andersen & Co.";1966;;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";;notfound
"Eidg. Volkswirtschaftsdepartement";"Ziele-Mittel und Träger der Konjunkturpolitik";;27;Druckerzeugnis;28.04.2004;;Haupt-Bibliothek;"AG 190 a";Bern;"Verlag des Schweiz. Handelsamtsblattes";1971;;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;unsure
"Winzeler K. R.";"Versuch eines interkommunalen Vergleichs von Gemeindeausgaben im Kanton Aargau";;"125 ff";Druckerzeugnis;"05.12.2003 08:38";;Separata;"AJ Sep. 03";Solothurn;"Vogt-Schild AG";1968;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;iff_doc_missing;103;102799504
"Schweiz. Nationalfonds/Programmleitung NFP 'Regionalprobleme'";"Überwälzungshypothesen zur effektiven regionalen Inzidenz des Bundeshaushaltes";;92;Druckerzeugnis;"05.12.2003 08:38";;Haupt-Bibliothek;"AG 342";Bern;;1981;;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;iff_doc_missing;106;080859275
"Innenministerium Baden-Württemberg";"Verwaltung 2000 - Bd. 17";;79;Druckerzeugnis;"05.12.2003 08:38";"Die Mitarbeiterbefragung in der Landesverwaltung Baden-Württemberg";Haupt-Bibliothek;"EH 139";Stuttgart;"Schwäbische Druckerei";1996;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;iff_doc_missing;113;036694533;"Bd. 17";"Die Mitarbeiterbefragung in der Landesverwaltung Baden-Württemberg"
"Schweiz. Wissenschaftsrat";Wissenschafts-Politik;;107;Druckerzeugnis;"05.12.2003 08:38";"Mitteilungsblatt des Schweizerischen Wissenschaftsrates, Nr. 2 / 1970";Haupt-Bibliothek;"WD 102 1";Bern;"Sekr. des Schweiz. Wissenschaftsrates";1970;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";iff_doc_missing;115;274172356
