"Brauner Heinrich";"Die steuer- und zollrechtliche Behandlung der Diplomaten-Konsuln und Mitglieder internationaler Organisationen sowie deren Niederlassungen in der Schweiz";-;364;Druckerzeugnis;"30.03.2004 13:52";"Disseration der Uni Zürich";Haupt-Bibliothek;"OC 206";Zürich;-;1987;;OC;;;"Grundbegriffe und Geschichte der Steuern";Steuersubjekt;;reimport;0997135;271547596
"Halbeisen Charles A.";"Der steuerrechtliche Wohnsitz";;;Druckerzeugnis;"30.03.2004 13:34";"in: Festschrift für Ernst Blumenstein, S. 81 ff.";Haupt-Bibliothek;-;Zürich;"Polygraphischer Verlag AG";-;;PB;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen- und Vermögensteuern: Steuerhoheit und subjektive Steuerpflicht";;reimport;0997140;357439015
"Doehlert Helmut";"Die steuerlichen Folgen der Auflösung der Gütergemeinschaft und der Zugewinngemeinschaft unter Lebenden";-;112;Druckerzeugnis;"30.03.2004 13:09";"Dissertation der Uni Köln";Haupt-Bibliothek;"PB 306";Köln;-;1972;;PB;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen- und Vermögensteuern: Steuerhoheit und subjektive Steuerpflicht";;reimport;0997147;271553227
"Gianola Giovanni";"Imprese associate. Problemi di diritto fiscale internazionale";-;236;Druckerzeugnis;"29.03.2004 15:15";"Studio del diritto convenzionale e particolarità dell'imposizione dei gruppi internazionali e dell'impresa bancaria";Haupt-Bibliothek;"KF 107";Milano;"Ed. del sole 24 ore";1988;;KF;;;"Ausländisches Steuerrecht";Italien;;reimport;0997165;260014109
"Wessel Eduard";"Doppelbesteuerung und EWG-Vertrag.  Die Ableitung der DBA-Bestimmungen aus dem EWG-Vertrag";-;205;Druckerzeugnis;"01.04.2004 11:24";;Haupt-Bibliothek;"LC 0144";Münster;"Lit Verlag";1988;;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";;reimport;0997192;515921912
"Harbeck Otto H.";"Steuer- und Anlageparadies Liechtenstein";;81;Druckerzeugnis;"30.03.2004 15:46";"Reihe: Leg Dein Geld richtig an- Heft 5";Haupt-Bibliothek;"KH 112";"Frankfurt a.M.";"Fritz Knapp";1972;;KH;;;"Ausländisches Steuerrecht";"Uebriges Europa";;reimport;0997216;271547340
"Ketterl Hans";"Steuerpolitische Gestaltungsspielräume im Umwandlungssteuergesetz";;320;Druckerzeugnis;"13.04.2004 16:02";"Wirtschaftswissenschaften, Band 181";Haupt-Bibliothek;"PE 0536";Frankfurt;"Harri Deutsch";1979;;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";;reimport;0997225;271556935
"Albracht Wolfgang";"Die stille Gesellschaft im Recht der Publikumspersonengesellschaften";3-631-42912--6;152;Druckerzeugnis;"13.04.2004 08:56";"Europäische Hochschulschriften, Reihe II, Bd. 985";Haupt-Bibliothek;"PE 0178";"Frankfurt a. M. / Bern / New York / Paris";"Peter Lang GmbH";1990;;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";;reimport;0997240;271581557
"Spoerry-Toneatti Vreni";"Politische und wirtschaftliche Aspekte der Unternehmensbesteuerung";;20;Druckerzeugnis;13.04.2004;"Stimmen zur Staats- und Wirtschaftpolitik, Nr. 77";Separata;"PE Sep. 01";Zürich;Wirtschaftsförderung;1985;;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";;reimport;0997251;267351372
"Maubach Peter";"Die Verwirklichung des Äquivalenzprinzips durch die Gewerbesteuerzerlegung in Fällen der Betriebs- und Wohngemeindendivergenz";-;116;Druckerzeugnis;"06.04.2004 15:59";"Disserttion der Uni Köln";Haupt-Bibliothek;"OB 405";Köln;Fotodruck;1970;;OB;;;"Grundbegriffe und Geschichte der Steuern";Steuerhoheit;;reimport;0997252;274400731
"Görg Eckhard";"Der Rückforderungsanspruch im Steuerrecht";-;135;Druckerzeugnis;"06.04.2004 15:46";Dissertation;Haupt-Bibliothek;"MF 204";Augsburg;Blasaditsch;1974;;MF;;;"Verfahrensrecht und Steuerstrafrecht";Steuerbezug;;reimport;0997255;26958935X
"Engelhardt Hanns";"Die Kirchensteuer in der Bundesrepublik Deutschland";-;232;Druckerzeugnis;"13.04.2004 16:15";;Haupt-Bibliothek;"OB 409";Berlin;"Verlag Gehlen";1968;;OB;;;"Grundbegriffe und Geschichte der Steuern";Steuerhoheit;;reimport;0997257;261551140
