Flick Hans/Wassermeyer Franz/Baumhoff Hubertus/Schönfeld Jens;Aussensteuerrecht - Bd. III;3-504-26041-6;-;Loseblattwerk;37960.34653;Kommentar;HB Steuerrecht;KB 308 3;Köln;Verlag Dr. Otto Schmidt;2017;0;KB;0;0;Ausländisches Steuerrecht;Deutschland;0
Baur Roman;Die tarifpolitischen Aspekte der zwischenbetrieblichen Zusammenarbeit im öffentlichen Ballungsverkehr;0;233;Druckerzeugnis;37960.34653;Dissertation der Hochschule St. Gallen, Nr. 534;Haupt-Bibliothek;AJ 234;Winterthur;Ziegler Druck- und Verlags AG;1974;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Bircher Thomas;Die Finanzierung der öffentlichen Spitäler durch die öffentliche Hand;0;83;Druckerzeugnis;37960.34653;0;Separata;BE Sep. 05;Bern;Seminararbeit;-;0;YL7;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Ruffner Markus;Die EG-Harmonisierungs- und Liberalisierungsrichtlinien - Blaupause und Regelungsstandard für das schweizerische Telekommunikationsrecht am Beispiel der Interkonnektion;3 7255 3887 5;S. 409-428;Druckerzeugnis;37960.34653;In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag;Haupt-Bibliothek;-;Zürich;Schulthess Polygraphischer Verlag;-;0;WB;0;0;Uebrige Literatur;Oeffentliches Recht;0
Iklé Max;Die Schweiz und die internationalen monetären Institutionen;0;16;Druckerzeugnis;37874;Referat an der HSG vom 5. Oktober 1972;Separata;FA Sep. 02;0;0;1972;0;YL5;YM;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
IFSt;IFSt-Brief 188;-;18;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;Z 153 188;Bonn;Stollfuss;1980;0;Z;0;0;Zeitschriften;0;0
Schwarzenbach-Hanhart Hans Rudolf;Berufliche Vorsorge in Text und Tafeln;3.7255.3244.3;224;Druckerzeugnis;38099;Textausgabe mit Verweisen auf andere Erlasse, Tafeln über die Zusammenhänge und ausführlichem Sachregister;Haupt-Bibliothek;WD 223;Zürich;Schultess Polygraphischer Verlag;1995;0;WD;0;0;Uebrige Literatur;Diverse Gebiete, Umweltschutz;0
Kommission für Konjunkturfragen des Eidgenössischen Volkswirtschaftsdepartementes;Der schweizerische Index der industriellen Produktion;0;24;Druckerzeugnis;38097;0;Separata;AE Sep. 08;Bern;Verlag Schweizerisches Handelsblatt;1965;0;YJ;0;0;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;0
Stanford Research Institute/u.a.;Costs of urban infrastructure for industry as related to city size in developing countries;0;435;Druckerzeugnis;37960.34653;India Case Study;Haupt-Bibliothek;AJ 169;0;0;1968;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Haverkampf Hans-Erhard;Politische und öffentliche Teilnahme an der kommunalen Aufgaben- und Finanzplanung - Reale Situation in der BRD und Möglichkeiten der Verbesserung;-;39-52;Druckerzeugnis;37960.34653;In: Bauer-Helfried- Knöpfle-Franz (Hersausgeber)- und andere: Aufgabenplanung und Finanzplanung;Haupt-Bibliothek;-;-;-;-;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Expertenkommission zur Prüfung des Einsatzes des Steuerrechts für wohnungs- und bodenpolitische Ziele;Bericht der Expertenkommission zur Prüfung des Einsatzes des Steuerrechts für wohnungs- und bodenpolitische Ziele;-;173;Druckerzeugnis;37960.34653;erstattet dem Eidg. Finanzdepartement;Haupt-Bibliothek;TA 197 1;Bern;-;1994;0;TA;0;0;Finanz- und Steuerpolitik (Finanzreform);Bund;0
Thiemann Rolf;Die Effizienz geldpolitischer Indikatoren Eine theoretische und empirische Analyse für die Bundesrepublik Deutschland;0;212;Druckerzeugnis;38236;Inaugural-Dissertation der Westfälischen Wilhelms-Universität zu Münster, 1977;Haupt-Bibliothek;AK 0265;0;Offset;1977;0;YK;0;0;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;0
Perret-Gentil J.-C./Odermatt W./Waas E.;Die Rolle der Klein- und Mittelstädte bei der Verteilung der Dienstleistungsfunktionen in der Schweiz;0;19 ff;Druckerzeugnis;38322;0;Separata;AJ Sep. 41;0;0;1985;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Helbling Carl;Bilanz- und Erfolgsanalyse;3-258-05626-9;559;Druckerzeugnis;37960.34653;Lehrbuch und Nachschlagewerk für die Praxis mit besonderer Berücksichtigung der Darstellung im Jahresabschluss- und Revisionsbericht;HB Steuerrecht;PE 1011 2;Bern / Stuttgart / Wien;Verlag Paul Haupt;1997;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
Schmidt Hans-Jürgen;Betriebswirtschaftslehre für die Verwaltung;3-7685-1481-1;341;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;EA 190;Heidelberg;R.v.Decker;1982;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
IFSt;IFSt-Schrift 357;-;101;Druckerzeugnis;37960.34653;Bedeutung und Reichweite der richtlinienkonformen Auslegung nationalen Rechts;Haupt-Bibliothek;Z 153 357;Bonn;IFSt;1997;0;Z;0;0;Zeitschriften;0;0
Badenhoop Reinhard K. J.;Bibliographie zur Organisation von Staat-Verwaltung-Wirtschaft - Bd. 1;0;766;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;EA 108 1;Köln;Grote'sche Verlagsbuchhandlung;1966;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Bray Jeremy;Decision in Government;0;311;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;AD 115;London;Victor Gollancz Ltd;1970;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Palmer John L.;Creating Jobs Public Employment Programs and Wage Subsidies;0.8157.6892.3;370;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;AG 323;Washington, D.C.;The Brookings Institution;1978;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Brauchli Werner;Das Phänomen der Stagflation Versuch einer theoretischen Klärung;0;321;Druckerzeugnis;37960.34653;Dissertation der Hochschule St. Gallen, Nr. 571;Haupt-Bibliothek;AG 230;St. Gallen;ok organisation kolb;1975;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Funk Philip;Der Begriff der Gewinnungskosten nach schweizerischem Einkommenssteuerrecht;3 7253 0350 9;267;Druckerzeugnis;37960.34653;St.Galler Dissertation Reihe Öffentliche Finanzen, Bd. 5;Haupt-Bibliothek;PC 404;Chur / Zürich;Verlag Rüegger;1989;0;PC;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommensteuer allgemein;0
Stadie Holger;UStG: Kommentar;978-3-504-24327-2;1396;Druckerzeugnis;40753.76667;1. A.;HB Steuerrecht;QB 379;Köln;Otto Schmidt Verlag;2009;0;QB;0;0;Verbrauchsteuern;Umsatzsteuer;0
Denison E. F.;An Aspect of Unequal Opportunity;0;S. 7 ff;Druckerzeugnis;38097;0;Separata;AG Sep. 40 a;0;0;1971;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Staringer Claus;Besteuerung doppelt ansässiger Kapitalgesellschaften;3-85122-940-1;462;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;KD 115;Wien;Linde Verlag Ges.m.b.H.;1999;0;KD;0;0;Ausländisches Steuerrecht;Oesterreich;0
Fischer Lutz;Internationaler Unternehmenskauf und -zusammenschluss im Steuerrecht;3-504-61500-1;149;Druckerzeugnis;38020.69306;mit den Auswirkungen des Steueränderungsgesetzes 1992- Forum der Internationalen Besteuerung, Bd. 1;Haupt-Bibliothek;LC 6117;Köln;Dr. Otto Schmidt KG;1992;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
Dellmann K.;Prozesskostenrechnung für Massnahmen- und Ressourcenentscheidungen in der Verwaltung;-;45778;Druckerzeugnis;37960.34653;In: Hess-John (Hrsg.): Controlling in der öffentlichen Verwaltung;Haupt-Bibliothek;-;-;-;-;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Kaufman Herbert;Are Government Organizations Immortal?;0-8157-4839-6;79;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;EA 148;Washington D.C.;The Bookings Institution;1976;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
IFSt;IFSt-Brief 216;-;73;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;Z 153 216;Bonn;Institut 'Finanzen und Steuern';1982;0;Z;0;0;Zeitschriften;0;0
Schmid Hans;Die staatliche Beschaffungspolitik;3.258.01612.7;276;Druckerzeugnis;37874;Ein Beitrag zu den Einkaufsverfahren der öffentlichen Hand;Haupt-Bibliothek;BB 118;Bern;Paul Haupt;1972;0;YL1;YR;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Gewerbepolitik. Einzelne Wirtschaftszweige";Allgemeines
Jarzyk-Dehne Friederike;Pauschalierungen im Steuerrecht;3-428-11081-1;294;Druckerzeugnis;38023;Schriften zum Steuerrecht- Band 77- hrsg. von Lang/Meincke;Haupt-Bibliothek;KB 219;Berlin;Duncker & Humblot GmbH;2003;0;KB;0;0;Ausländisches Steuerrecht;Deutschland;0
Dézsy Josef M.;Anreize und Steuerungsmöglichkeiten durch Preisvorgaben im Krankenhaus;0;50-59;Druckerzeugnis;38097;Das Krankenhaus 2/1988;Separata;X Sep. 06;0;0;1988;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Caiden Gerald E.;Administrative Reform Comes of Age;3.11.012645.1 Pb. 3.11.012895.0 Gewebe;316;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;EG 178;Berlin und andere;de Gruyter;1991;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Känzig Ernst;Die Eidgenössische Wehrsteuer;-;707;Druckerzeugnis;37960.34653;0;HB Steuerrecht;JC 101;Basel;Verlag für Recht und Gesellschaft AG;1962;0;JC;0;0;Allgemeine Steuerrechtsliteratur;Schweizerische Kommentare und Handbücher;0
Grossmann Benno;Die Besteuerung der Gewinne auf Geschäftsgrundstücken;-;407;Druckerzeugnis;37960.34653;Dissertation Nr. 656 der HSG;Haupt-Bibliothek;PE 0530 1;Romanshorn / St.Gallen;Gerhard Ströbele, Offset- und Buchdruck;1977;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
