Haas Adrian;;;Chancen und Gefahren des New Public Managements für die Privatwirtschaft;;;;;;Druckerzeugnis;;Haupt-Bibliothek;EF 230;Bern;ECOPLAN;1996;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Schwarzenbach Hans Rudolf;;;Bericht zur Frage;Wie soll das Personal zürcherischer Gemeinden angestellt sein;;;;40;Druckerzeugnis;...- öffentlichrechtlich oder privatrechtlich, - auf Amtsdauer oder unbefristet auf Kündigung?;Separata;EH Sep. 02;Erlenbach;;1992;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
U. S. General Accounting Office (GAO);;;Business Process Reengineering Assessment Guide;;;;;74;Druckerzeugnis;Accounting and Information Management Division;Haupt-Bibliothek;EG 227;Washington;GAO;1997;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Mmobuosi Ifechukude B.;Ndongko Theresa M.;;Cahier Africains d'Administration Publique;;;;;165;Druckerzeugnis;African Administrative Studies;Haupt-Bibliothek;EA 238;Nigeria;Centre Africain de Formation et de Recherche Administratives pur le Développement;1989;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Zimmermann Gebhard;;;Die Leistungsfähigkeit von Kostenrechnungssystemen für den managementorientierten Informationsbedarf;;;;-;167-195;Druckerzeugnis;In: Brede-Helmut (Hrsg.)- Buschor-Ernst- und andere: Das neue Oeffentliche Rechnungswesen;Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Runge Berndt;;;Das neue DBA Österreich-Deutschland im Lichte der deutschen Abkommenspolitik;;;;-;15-34;Druckerzeugnis;in: Gassner, Wolfgang, Lang, Michael & u.a., (Hrsg.): Das neue Doppelbesteuerungsabkommen Österreich-Deutschland;Haupt-Bibliothek;;;;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;
Shapiro Eli;White William L.;;Capital for Productivity and Jobs;;;;0.13.113498.1;194;Druckerzeugnis;;Haupt-Bibliothek;AG 257;Englewood Cliffs;Prentice-Hall;1977;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;
Pohl Reinhard;;;Stabilisierung oder Anpassung;Konsequenzen für den finanziellen Sektor;;;3.428.03264.0;148-158;Druckerzeugnis;In: Haberler-Gottfried- Bartel-Karl (Hrsg.): Das Inflationsproblem heute - Stabilisierung oder Anpassung;Haupt-Bibliothek;;Berlin;Duncker & Humblot;;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;
Kantonale Finanzkontrolle Schwyz;;;Die Finanzlage der politischen Gemeinden im Kanton Schwyz;;;;;12;Druckerzeugnis;;Separata;EC Sep. 07;Schwyz;Kant. Finanzkontrolle Schwyz;1991;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
Guthrie James;Johnson Michael;;CEDA PROJECT An Australia That Works;A Vision for the Future - Australia in the 1990s and Beyond;;;;28;Druckerzeugnis;;Separata;EF Sep. 26;Sydney;University of NSW;1993;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
IFSt-Arbeitsgruppe;;;Einführung einer modernen Gruppenbesteuerung;Ein Reformvorschlag -;;;-;123;Druckerzeugnis;IFSt-Schrift 471;Haupt-Bibliothek;;;;;KB;;;Ausländisches Steuerrecht;Deutschland;
First National City Bank;;;A Turn in Monetary Policy;A New Look in Federal Spending?;;;;3- 6-;Druckerzeugnis;;Separata;AK Sep. 213;New York;First National City Bank;1969;YK;;;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;
Gannon Thomas Wade D.;;;An analysis of leadership skills from across the fields of education-business and public administration;;;;;130;Druckerzeugnis;;Haupt-Bibliothek;EH 108;Ann Arbor;UMI;1991;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Züger Mario;;;Das Schiedsverfahren nach dem neuen DBA Österreich-Deutschland;;;;-;245-268;Druckerzeugnis;in: Gassner, Wolfgang, Lang, Michael & u.a., (Hrsg.): Das neue Doppelbesteuerungsabkommen Österreich-Deutschland;Haupt-Bibliothek;;;;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;
Management Information Service;;;Community-Oriented Policing;;;;;14;Druckerzeugnis;;Separata;EA Sep. 19;Washington;Management Information Service;1989;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Kettl;Donald F.;;Micromanagement;Congressional Control and Bureaucratic Risk;;;0-934540-86-1;94-109;Druckerzeugnis;In: Ingraham-Patricia W.- Kettl-Donald F.: Agenda for Excellence: Public Service in America;Haupt-Bibliothek;;Chatham;Chatham House;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Lang Michael;;;Die Besonderheiten der Auslegung des DBA Österreich-USA;;;;-;25-46;Druckerzeugnis;In: Gassner, Wolfgang, Lang, Michael & Lechner, Eduard, (Hrsg.): Das neue Doppelbesteuerungsabkommen Österreich - USA. Abkommenspraxis im Spannungsfeld zwischen OECD- und US-Musterabkommen;Haupt-Bibliothek;;Wien;Linde;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;
Cima;;;A Guide to Developed Budgeting;;;;-;15;Druckerzeugnis;;Haupt-Bibliothek;VB 180;London;CIMA;1996;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
O'Donoghue M.;;;Die Haushaltsbefugnisse des Europäischen Parlaments;;;;;533-544;Druckerzeugnis;In: Kommission der Europäischen Gemeinschaften: Bericht der Sachverständigengruppe zur Untersuchung der Rolle der öffentlichen Finanzen bei der europäischen Integration;Haupt-Bibliothek;;Brüssel;;;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Geschäftsleitender Ausschuss der Kommission GVK-CH;;;Arbeitsschritte zur Problemlösung Gesamtverkehrskonzeption Schweiz;;;;;41852;Druckerzeugnis;Referate der 11. Arbeitstagung der Vereinigung ehemaliger Studierender der Richtungen Fremdenverkehr und Verkehrswirtschaft der Hochschule St. Gallen vom 21. mai 1974;Separata;AJ Sep. 22;St. Gallen;Institut für Fremdenverkehr und Verkehrswirtschaft an der HSG;1975;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;
Haverkampf Hans-Erhard;;;Politische und öffentliche Teilnahme an der kommunalen Aufgaben- und Finanzplanung;Reale Situation in der BRD und Möglichkeiten der Verbesserung;;;-;39-52;Druckerzeugnis;In: Bauer-Helfried- Knöpfle-Franz (Hersausgeber)- und andere: Aufgabenplanung und Finanzplanung;Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Mayne John;;;Utilizing Evaluation in Organizations;The Balancin Act;;;1-56000-130-5;17-43;Druckerzeugnis;In: Leeuw- Frans L.- Rist- Ray C.- Sonnichsen- Richard C.: Can Governments learn?;Haupt-Bibliothek;;New Brunswick;Transaction;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Külp Bernhard;;;Die Rolle der Einkommensverteilung innerhalb der Wohlfahrtstheorie;;;;3.428.02939.9;99-130;Druckerzeugnis;In: Külp-Bernhard- Stützel-Wolfgang (Hrsg): Beiträge zu einer Theorie der Sozialpolitik;Haupt-Bibliothek;;Berlin;Duncker & Humblot;;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;
Rublack Carolin;;;Berücksichtigung finaler Auslandsverluste;Ein Vorschlag zur Umsetzung der unionsrechtlichen Anforderungen im deutschen Steuerrecht -;;;-;51;Druckerzeugnis;IFSt-Schrift 472;Haupt-Bibliothek;;;;;KB;;;Ausländisches Steuerrecht;Deutschland;
Schmölders Günter;;;Die Kluft zwischen Steuernorm und Steuerwirklichkeit;;;;;;Druckerzeugnis;in: Der wirtschaftende Staat. Theorie und Praxis- Festschrift zum 70. Geburtstag von Prof. Dr. Theo Keller;Haupt-Bibliothek;;Bern;Paul Haupt;1971;-;YL8;;;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeine Steuerlehre, Steuersystem einzelner Länder
Schweiz. Bankgesellschaft;;;Der Staat als Unternehmer;;;;;31;Druckerzeugnis;;Separata;EF Sep. 12;Zürich;;1974;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Ullmann Klaus;;;Debt Management und Schuldenpolitik des Bundes;;;;;3;Druckerzeugnis;;Separata;DA Sep. 07;;;1968;YL2;YL7;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Ernst Markus;;;Neuordnung der Verlustnutzung nach Anteilseignerwechsel;Reformbedarf und haushaltspolitische Bedeutung des § 8c KStG -;;;-;125;Druckerzeugnis;IFSt-Schrift 470;Haupt-Bibliothek;;;;;KB;;;Ausländisches Steuerrecht;Deutschland;
Wegener Alexander;;;Competition between public and private service producers;;;;;23;Druckerzeugnis;Innovative local governements in international perspective;Separata;EF Sep. 17;Berlin;Wissenschaftszentrum;1997;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Perret-Gentil J.-C.;Odermatt W.;Waas E.;Die Rolle der Klein- und Mittelstädte bei der Verteilung der Dienstleistungsfunktionen in der Schweiz;;;;;19-;Druckerzeugnis;;Separata;AJ Sep. 41;;;1985;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;
