"ï»¿Flick Hans";"Wassermeyer Franz";"Baumhoff Hubertus";Aussensteuerrecht;"Bd. III";;;3-504-26041-6;;Loseblattwerk;Kommentar;"HB Steuerrecht";"KB 308 3";KÃ¶ln;"Otto Schmidt";2017;KB;;;"AuslÃ¤ndisches Steuerrecht";Deutschland;0;found;;(DE-627)1018671358
"Baur Roman";;;"Die tarifpolitischen Aspekte der zwischenbetrieblichen Zusammenarbeit im öffentlichen Ballungsverkehr";;;;0;233;Druckerzeugnis;"Dissertation der Hochschule St. Gallen, Nr. 534";Haupt-Bibliothek;"AJ 234";Winterthur;"Ziegler Druck- und Verlags AG";1974;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-627)1091926239
"Bircher Thomas";;;"Die Finanzierung der öffentlichen Spitäler durch die öffentliche Hand";;;;0;83;Druckerzeugnis;0;Separata;"BE Sep. 05";Bern;Seminararbeit;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";notfound
"Ruffner Markus";;;"Die EG-Harmonisierungs- und Liberalisierungsrichtlinien";"Blaupause und Regelungsstandard für das schweizerische Telekommunikationsrecht am Beispiel der Interkonnektion";;;"3 7255 3887 5";409-428;Druckerzeugnis;"In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag";Haupt-Bibliothek;;Zürich;Schulthess;;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;found;;(DE-627)1149247339
"Iklé Max";;;"Die Schweiz und die internationalen monetären Institutionen";;;;0;16;Druckerzeugnis;"Referat an der HSG vom 5. Oktober 1972";Separata;"FA Sep. 02";;;1972;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";found;;(DE-627)055630766
IFSt;;;"IFSt-Brief 188";;;;-;18;Druckerzeugnis;0;Haupt-Bibliothek;"Z 153 188";Bonn;Stollfuss;1980;Z;;;Zeitschriften;0;0;ignore
"Schwarzenbach-Hanhart Hans Rudolf";;;"Berufliche Vorsorge in Text und Tafeln";;;;3.7255.3244.3;224;Druckerzeugnis;"Textausgabe mit Verweisen auf andere Erlasse, Tafeln über die Zusammenhänge und ausführlichem Sachregister";Haupt-Bibliothek;"WD 223";Zürich;Schulthess;1995;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";0;found;;(DE-101)943592119
"Kommission für Konjunkturfragen des Eidgenössischen Volkswirtschaftsdepartementes";;;"Der schweizerische Index der industriellen Produktion";;;;0;24;Druckerzeugnis;0;Separata;"AE Sep. 08";Bern;"Verlag Schweizerisches Handelsblatt";1965;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";0;found;;(DE-627)505654415
"Stanford Research Institute";;;"Costs of urban infrastructure for industry as related to city size in developing countries";;;;0;435;Druckerzeugnis;"India Case Study";Haupt-Bibliothek;"AJ 169";;;1968;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-627)214375188
"Haverkampf Hans-Erhard";;;"Politische und öffentliche Teilnahme an der kommunalen Aufgaben- und Finanzplanung";"Reale Situation in der BRD und Möglichkeiten der Verbesserung";;;-;39-52;Druckerzeugnis;"In: Bauer-Helfried- Knöpfle-Franz (Hersausgeber)- und andere: Aufgabenplanung und Finanzplanung";Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Expertenkommission zur Prüfung des Einsatzes des Steuerrechts für wohnungs- und bodenpolitische Ziele";;;"Bericht der Expertenkommission zur Prüfung des Einsatzes des Steuerrechts für wohnungs- und bodenpolitische Ziele";;;;-;173;Druckerzeugnis;"erstattet dem Eidg. Finanzdepartement";Haupt-Bibliothek;"TA 197 1";Bern;;1994;TA;;;"Finanz- und Steuerpolitik (Finanzreform)";Bund;0;found;;(DE-604)BV019735196
"Thiemann Rolf";;;"Die Effizienz geldpolitischer Indikatoren Eine theoretische und empirische Analyse für die Bundesrepublik Deutschland";;;;0;212;Druckerzeugnis;"Inaugural-Dissertation der Westfälischen Wilhelms-Universität zu Münster, 1977";Haupt-Bibliothek;"AK 0265";;Offset;1977;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";0;found;;(DE-627)1076319807
"Perret-Gentil J.-C.";"Odermatt W.";"Waas E.";"Die Rolle der Klein- und Mittelstädte bei der Verteilung der Dienstleistungsfunktionen in der Schweiz";;;;0;19-;Druckerzeugnis;0;Separata;"AJ Sep. 41";;;1985;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;notfound
"Helbling Carl";;;"Bilanz- und Erfolgsanalyse";;;;3-258-05626-9;559;Druckerzeugnis;"Lehrbuch und Nachschlagewerk für die Praxis mit besonderer Berücksichtigung der Darstellung im Jahresabschluss- und Revisionsbericht";"HB Steuerrecht";"PE 1011 2";Bern;"Paul Haupt";1997;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)226181197
"Schmidt Hans-Jürgen";;;"Betriebswirtschaftslehre für die Verwaltung";;;;3-7685-1481-1;341;Druckerzeugnis;0;Haupt-Bibliothek;"EA 190";Heidelberg;R.v.Decker;1982;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)016263391
